oib,ISVUsifra
11111111111,92978
11111111112,92979
11111111113,45688
11111111114,45689
11111111115,92949
11111111116,45691
11111111117,61519
11111111118,45693
11111111119,45694
11111111120,45695
11111111121,92950
11111111122,92956
11111111123,92957
11111111124,61520
11111111125,92958
11111111126,61518
11111111127,61522
11111111128,92951
11111111129,213172
11111111130,45696
11111111131,45700
11111111132,61526
11111111133,92953
11111111134,213176
11111111135,213177
11111111136,227988
11111111137,227986
11111111138,61527
11111111139,61528
11111111140,61529
11111111141,45702
11111111142,61531
11111111143,45704
11111111144,92954
11111111145,61532
11111111146,61533
11111111147,130302
11111111115,201266
11111111123,213173
11111111133,213179
11111111113,213179
11111111140,227989
